Account_ID,Customer_ID,Account_Type,Currency,Account_Creation_Date,Current_Balance,Date_Last_Bank_Initiated_Activity,Date_Last_Customer_Communication_Any_Type,FTD_Maturity_Date,FTD_Auto_Renewal,Date_Last_FTD_Renewal_Claim_Request,Inv_Maturity_Redemption_Date,SDB_Charges_Outstanding,Date_SDB_Charges_Became_Outstanding,SDB_Tenant_Communication_Received,Unclaimed_Item_Trigger_Date,Unclaimed_Item_Amount,Date_Last_Cust_Initiated_Activity,Bank_Contact_Attempted_Post_Dormancy_Trigger,Date_Last_Bank_Contact_Attempt,Customer_Responded_to_Bank_Contact,Date_Claim_Received,Claim_Successful,Amount_Paid_on_Claim,Scenario_Notes,Customer_Address_Known,Customer_Has_Active_Liability_Account,Customer_Has_Litigation_Regulatory_Reqs,Holder_Has_Activity_On_Any_Other_Account,Is_Asset_Only_Customer_Type,Expected_Account_Dormant,Expected_Requires_Article_3_Process,Expected_Transfer_to_CB_Due
ACC000014,CUST001570,saving,SAR,2021-12-25,242559.09,2022-07-27,2022-12-31,,,,,no,,,,0.0,2023-09-22,no,,no,,no,0.0,Dormant check,no,yes,no,no,yes,no,yes,no
ACC000015,CUST001438,call,SAR,2022-05-02,180928.43,2023-05-26,2025-01-08,,,,,no,,,,0.0,2023-02-15,yes,2022-07-04,yes,,no,0.0,,no,yes,yes,no,no,yes,no,no
ACC000016,CUST001153,saving,AED,2020-10-20,199074.74,2021-10-12,2024-08-26,,,,,no,,,,0.0,2022-03-21,no,,yes,2021-08-11,pending,0.0,Regular review,no,no,no,no,no,yes,no,yes
ACC000017,CUST000669,cashier_order,EUR,2020-10-01,192268.65,2023-03-09,2021-01-22,,,,,no,,,2021-12-02,974.09,2025-04-30,no,,no,,no,0.0,Regular review,no,no,yes,yes,no,no,yes,no
ACC000018,CUST001141,current,GBP,2023-01-21,735708.12,2023-10-11,2024-04-13,,,,,no,,,,0.0,2025-04-25,yes,2023-12-09,no,2023-10-12,pending,0.0,Regular review,no,yes,no,yes,yes,yes,no,no
ACC000019,CUST000747,safe_deposit_box,GBP,2017-08-23,168804.34,2019-02-28,2024-07-16,,,,,yes,2019-01-18,no,,0.0,2017-10-24,no,,yes,,no,0.0,Regular review,yes,yes,yes,yes,yes,yes,no,yes
ACC000020,CUST000779,cashier_order,INR,2015-08-15,816015.19,2021-10-08,2016-02-15,,,,,no,,,2022-06-06,351.55,2021-05-22,no,,no,,no,0.0,Regular review,yes,no,no,yes,yes,no,no,yes
ACC000021,CUST000715,bankers_cheque,SAR,2022-09-22,703.87,2024-05-10,2024-09-26,,,,,no,,,2024-07-08,784.04,2022-10-13,yes,2022-12-27,yes,,no,0.0,Regular review,yes,no,no,yes,yes,no,yes,no
ACC000022,CUST000930,cashier_order,SAR,2024-03-14,731751.48,2024-12-17,2024-06-28,,,,,no,,,2025-01-21,361.06,2024-10-27,yes,2024-10-11,no,2024-11-07,no,0.0,,no,no,yes,no,yes,yes,no,yes
ACC000023,CUST000518,fixed_deposit,USD,2020-09-03,524454.79,2024-09-26,2020-11-11,2021-04-01,yes,2022-03-03,,no,,,,0.0,2021-11-06,no,,yes,,no,0.0,Dormant check,yes,yes,yes,no,yes,no,no,no
ACC000024,CUST001064,current,GBP,2022-08-16,501341.05,2024-07-09,2023-05-31,,,,,no,,,,0.0,2024-12-29,no,,yes,2022-09-14,no,0.0,,yes,no,yes,yes,yes,yes,no,yes
ACC000025,CUST000922,bank_draft,SAR,2020-02-02,914530.06,2022-01-22,2024-05-31,,,,,no,,,2022-05-27,992.25,2020-08-09,no,,yes,,no,0.0,Dormant check,yes,no,yes,yes,no,yes,no,yes
ACC000026,CUST000274,fixed_deposit,EUR,2021-04-28,143820.11,2023-10-01,2024-03-29,2022-08-03,yes,2024-11-02,,no,,,,0.0,2022-05-31,yes,2023-08-12,no,2021-08-03,no,0.0,Regular review,no,yes,no,yes,yes,yes,yes,no
ACC000027,CUST001692,safe_deposit_box,AED,2022-06-13,875933.74,2023-10-18,2022-12-02,,,,,yes,2024-07-16,no,,0.0,2022-11-20,no,,no,,no,0.0,Regular review,no,yes,no,no,no,yes,yes,yes
ACC000028,CUST001001,call,GBP,2023-10-12,300335.85,2024-07-05,2025-04-24,,,,,no,,,,0.0,2025-01-09,no,,yes,2025-01-10,pending,0.0,Dormant check,yes,yes,yes,yes,yes,no,no,no
ACC000029,CUST000652,saving,EUR,2015-12-09,754100.16,2024-08-15,2018-01-29,,,,,no,,,,0.0,2016-04-09,no,,yes,,no,0.0,Dormant check,yes,yes,yes,yes,no,yes,no,no
ACC000030,CUST000723,call,AED,2020-07-06,639609.28,2024-11-14,2021-10-29,,,,,no,,,,0.0,2020-08-21,no,,no,,no,0.0,Dormant check,no,no,yes,no,yes,yes,yes,no
ACC000031,CUST001893,bank_draft,SAR,2020-03-02,345418.31,2020-11-01,2021-10-04,,,,,no,,,2020-04-09,704.51,2024-05-25,yes,2022-01-10,no,2023-08-24,pending,0.0,Dormant check,no,yes,no,no,no,no,no,no
ACC000032,CUST001548,saving,GBP,2021-10-14,925808.35,2022-10-26,2022-09-14,,,,,no,,,,0.0,2024-04-22,no,,yes,2023-07-01,no,0.0,Regular review,yes,no,no,no,yes,no,yes,yes
ACC000033,CUST001884,bank_draft,GBP,2022-12-17,340379.59,2024-03-16,2023-03-29,,,,,no,,,2024-10-25,702.29,2024-09-01,no,,no,2023-12-26,no,0.0,Regular review,yes,no,yes,yes,yes,yes,yes,yes
ACC000034,CUST001157,cashier_order,INR,2023-10-17,648931.62,2024-12-05,2024-10-11,,,,,no,,,2024-01-16,348.4,2024-06-30,no,,yes,2025-05-04,pending,0.0,,no,no,yes,no,yes,yes,no,yes
ACC000035,CUST001428,fixed_deposit,SAR,2019-02-11,289971.71,2020-01-30,2021-10-25,2021-05-08,no,2023-06-10,,no,,,,0.0,2023-09-13,yes,2019-04-12,yes,2024-07-23,pending,0.0,Dormant check,yes,no,no,no,yes,no,yes,yes
ACC000036,CUST000002,bankers_cheque,AED,2021-01-15,346467.75,2022-12-25,2022-07-10,,,,,no,,,2024-03-21,793.99,2023-05-09,yes,2023-07-11,no,,no,0.0,Regular review,yes,yes,yes,no,yes,no,yes,no
ACC000037,CUST000194,safe_deposit_box,AED,2018-12-03,671832.97,2020-11-25,2022-09-25,,,,,yes,2019-01-16,yes,,0.0,2025-05-04,no,,no,2025-02-15,yes,0.0,,yes,yes,no,no,yes,yes,no,no
ACC000038,CUST000629,investment,USD,2020-05-21,645075.1,2021-06-30,2020-11-20,,,,2020-09-29,no,,,,0.0,2025-01-23,yes,2021-05-30,yes,,no,0.0,,yes,no,no,no,no,no,yes,yes
ACC000039,CUST001391,saving,INR,2017-02-22,131619.29,2022-01-13,2017-12-17,,,,,no,,,,0.0,2023-03-09,yes,2018-05-11,no,,no,0.0,,yes,yes,yes,no,yes,yes,yes,no
ACC000040,CUST001404,fixed_deposit,INR,2019-01-25,521190.4,2022-10-19,2024-03-18,2019-05-30,yes,2023-10-18,,no,,,,0.0,2023-11-12,no,,no,2024-11-04,pending,0.0,Dormant check,no,yes,no,no,no,no,yes,no
ACC000041,CUST000205,investment,SAR,2016-01-31,36662.85,2021-10-01,2018-05-04,,,,2024-02-22,no,,,,0.0,2019-03-25,no,,yes,2025-05-01,yes,0.0,,yes,yes,yes,yes,yes,no,yes,yes
ACC000042,CUST001770,bank_draft,AED,2019-06-02,968889.35,2021-03-16,2021-01-16,,,,,no,,,2019-09-30,466.25,2020-08-19,yes,2022-04-30,no,2024-06-01,yes,49.21,,no,no,yes,yes,no,yes,no,no
ACC000043,CUST000299,investment,USD,2021-10-02,522376.46,2022-03-04,2024-09-18,,,,2022-07-28,no,,,,0.0,2022-04-22,no,,no,,no,0.0,Dormant check,no,yes,no,yes,no,yes,yes,yes
ACC000044,CUST001951,investment,USD,2019-07-03,52029.58,2025-02-13,2021-08-29,,,,2023-03-02,no,,,,0.0,2022-04-03,no,,no,,no,0.0,,yes,yes,yes,no,no,no,yes,yes
ACC000045,CUST001058,cashier_order,GBP,2022-11-07,229052.63,2023-11-30,2023-11-08,,,,,no,,,2024-08-06,394.04,2024-10-28,no,,yes,,no,0.0,Regular review,yes,no,yes,yes,no,yes,no,yes
ACC000046,CUST001075,bank_draft,SAR,2024-02-02,135121.84,2024-05-23,2024-09-19,,,,,no,,,2024-04-02,743.54,2024-12-21,yes,2025-02-14,yes,,no,0.0,,yes,no,yes,no,yes,no,no,yes
ACC000047,CUST001772,safe_deposit_box,INR,2018-04-14,348285.98,2023-05-09,2021-02-20,,,,,yes,2023-04-29,yes,,0.0,2022-11-04,no,,yes,2024-08-17,yes,0.0,Dormant check,no,yes,yes,no,yes,yes,yes,no
ACC000048,CUST001528,fixed_deposit,EUR,2016-03-24,906320.65,2022-03-26,2019-01-12,2018-10-02,yes,2019-01-27,,no,,,,0.0,2025-05-11,no,,no,,no,0.0,Dormant check,yes,no,yes,yes,yes,no,no,yes
ACC000049,CUST001213,cashier_order,AED,2024-01-08,161336.57,2024-04-10,2024-04-14,,,,,no,,,2025-02-23,892.04,2024-11-18,yes,2025-03-26,yes,,no,0.0,Regular review,no,no,yes,yes,no,no,yes,yes
ACC000050,CUST001207,investment,SAR,2024-03-14,165263.92,2024-04-25,2024-08-04,,,,2024-09-06,no,,,,0.0,2025-05-08,yes,2024-04-23,yes,,no,0.0,,no,no,no,no,yes,yes,no,no
ACC000051,CUST000743,safe_deposit_box,USD,2021-11-25,144027.47,2022-01-06,2023-09-23,,,,,yes,2024-09-18,no,,0.0,2023-02-21,yes,2022-12-01,no,,no,0.0,Regular review,no,yes,yes,yes,yes,yes,yes,no
ACC000052,CUST000388,cashier_order,USD,2022-04-27,401759.34,2024-05-27,2024-06-30,,,,,no,,,2022-12-27,308.9,2023-08-13,no,,yes,,no,0.0,,yes,yes,yes,no,no,no,yes,yes
ACC000053,CUST001523,call,SAR,2017-01-26,497470.29,2017-05-07,2021-04-19,,,,,no,,,,0.0,2018-10-22,yes,2021-09-10,yes,,no,0.0,Dormant check,no,yes,yes,no,no,yes,yes,yes
ACC000054,CUST000974,safe_deposit_box,GBP,2022-07-18,633090.03,2025-03-28,2024-05-22,,,,,yes,2023-07-31,yes,,0.0,2023-11-13,no,,yes,2024-02-01,yes,0.0,,yes,no,no,yes,no,yes,no,no
ACC000055,CUST001331,fixed_deposit,USD,2020-06-17,335339.27,2022-03-31,2023-09-07,2023-01-23,yes,2023-11-30,,no,,,,0.0,2024-07-14,no,,no,,no,0.0,Dormant check,yes,yes,yes,yes,yes,no,no,no
ACC000056,CUST000674,cashier_order,SAR,2023-12-04,640221.18,2024-02-11,2024-04-26,,,,,no,,,2023-12-20,801.05,2025-04-24,yes,2024-03-28,no,,no,0.0,,no,no,yes,no,yes,no,yes,no
ACC000057,CUST000745,bankers_cheque,USD,2019-04-23,290421.81,2023-05-16,2019-09-25,,,,,no,,,2022-01-15,431.4,2021-04-25,yes,2021-08-19,yes,2021-03-24,no,0.0,,yes,yes,no,no,no,yes,yes,yes
ACC000058,CUST001291,cashier_order,AED,2022-02-23,507427.35,2025-01-25,2025-02-12,,,,,no,,,2022-07-16,178.53,2023-07-05,yes,2023-09-24,yes,2022-03-18,no,0.0,Regular review,yes,yes,yes,yes,no,no,no,yes
ACC000059,CUST001313,call,AED,2020-04-11,198441.98,2021-05-28,2023-06-06,,,,,no,,,,0.0,2022-03-12,yes,2023-10-17,yes,,no,0.0,Dormant check,yes,no,yes,yes,no,no,yes,yes
ACC000060,CUST000514,fixed_deposit,SAR,2018-09-22,824640.32,2023-11-22,2024-02-12,2018-10-07,no,2021-07-27,,no,,,,0.0,2020-12-28,no,,no,2019-05-10,yes,0.0,,yes,no,yes,yes,yes,yes,no,no
ACC000061,CUST000473,current,SAR,2023-08-23,207839.41,2023-10-10,2023-11-24,,,,,no,,,,0.0,2025-04-25,no,,no,,no,0.0,Dormant check,no,yes,no,yes,no,no,no,no
ACC000062,CUST001549,safe_deposit_box,USD,2017-09-22,347507.35,2018-04-21,2023-01-11,,,,,yes,2018-04-21,yes,,0.0,2023-01-15,yes,2021-01-10,yes,2023-06-25,yes,0.0,,yes,yes,no,no,no,yes,yes,yes
ACC000063,CUST001677,bank_draft,GBP,2019-12-19,979050.77,2024-01-27,2022-03-22,,,,,no,,,2022-06-27,656.13,2025-02-25,yes,2021-12-05,yes,,no,0.0,Dormant check,no,yes,no,no,yes,no,yes,yes
ACC000064,CUST001298,safe_deposit_box,SAR,2023-04-09,804176.84,2024-11-14,2025-01-08,,,,,yes,2025-04-27,yes,,0.0,2024-05-16,no,,no,,no,0.0,,no,no,no,yes,no,yes,no,yes
ACC000065,CUST001726,investment,USD,2017-10-12,612445.43,2018-01-17,2018-05-03,,,,2022-12-25,no,,,,0.0,2021-08-09,yes,2022-12-05,yes,,no,0.0,,yes,yes,no,yes,yes,no,yes,no
ACC000066,CUST000912,safe_deposit_box,INR,2016-07-01,664030.69,2022-10-12,2023-04-11,,,,,yes,2022-11-21,yes,,0.0,2023-08-08,yes,2021-08-11,yes,2022-06-19,yes,0.0,,yes,no,yes,no,yes,yes,no,yes
ACC000067,CUST000381,call,INR,2022-09-14,566491.32,2025-03-08,2024-07-14,,,,,no,,,,0.0,2024-01-31,no,,no,,no,0.0,Dormant check,no,yes,no,yes,yes,no,no,yes
ACC000068,CUST000068,bank_draft,EUR,2024-01-31,995067.57,2024-06-12,2025-02-18,,,,,no,,,2025-02-13,110.72,2024-02-26,yes,2024-10-06,yes,,no,0.0,Regular review,yes,no,yes,yes,no,no,no,yes
ACC000069,CUST000628,saving,GBP,2023-08-12,715703.86,2024-06-06,2024-02-04,,,,,no,,,,0.0,2025-01-20,yes,2024-03-08,yes,2024-09-10,pending,0.0,Regular review,yes,no,yes,yes,no,yes,no,no
ACC000070,CUST001459,safe_deposit_box,EUR,2015-09-18,916837.78,2017-09-15,2022-11-06,,,,,yes,2017-12-06,no,,0.0,2017-11-22,no,,yes,,no,0.0,Regular review,no,yes,no,no,no,no,no,yes
ACC000071,CUST000218,safe_deposit_box,INR,2023-09-19,713655.23,2024-09-25,2024-12-20,,,,,yes,2025-04-05,yes,,0.0,2023-12-23,yes,2025-02-05,no,,no,0.0,,no,yes,no,no,no,no,yes,no
ACC000072,CUST001243,fixed_deposit,AED,2015-06-06,583798.62,2020-06-06,2017-01-13,2024-05-22,no,2025-01-24,,no,,,,0.0,2024-08-01,no,,yes,2016-11-22,no,0.0,,no,no,no,no,no,no,no,no
ACC000073,CUST001770,bankers_cheque,GBP,2023-10-16,554501.96,2024-02-27,2024-03-11,,,,,no,,,2025-03-09,598.69,2025-01-05,no,,no,,no,0.0,,no,no,yes,no,no,no,no,yes
ACC000074,CUST001038,investment,SAR,2023-08-31,755173.92,2024-08-14,2023-12-13,,,,2023-09-10,no,,,,0.0,2024-10-12,yes,2024-05-21,no,,no,0.0,Regular review,no,yes,no,no,yes,yes,yes,no
ACC000075,CUST001366,investment,GBP,2018-01-29,75448.7,2020-12-25,2021-10-04,,,,2020-06-30,no,,,,0.0,2022-04-22,yes,2019-09-21,no,2019-07-15,no,0.0,Dormant check,no,yes,no,no,yes,no,yes,yes
ACC000076,CUST001696,safe_deposit_box,GBP,2019-05-12,62963.26,2019-05-31,2021-10-13,,,,,yes,2025-04-23,no,,0.0,2021-08-15,yes,2022-09-11,yes,2020-10-11,yes,0.0,,yes,yes,yes,yes,no,yes,yes,yes
ACC000077,CUST001829,fixed_deposit,GBP,2023-12-13,802356.94,2024-05-10,2024-01-11,2024-06-09,no,2025-02-15,,no,,,,0.0,2024-09-25,yes,2025-04-11,no,,no,0.0,Regular review,no,yes,no,no,yes,yes,yes,yes
ACC000078,CUST001621,investment,GBP,2021-01-02,417851.82,2024-10-25,2022-01-24,,,,2023-04-04,no,,,,0.0,2023-10-05,no,,yes,2022-06-27,yes,0.0,,no,no,no,no,yes,no,no,no
ACC000079,CUST001402,current,AED,2020-08-24,118095.42,2023-10-31,2022-01-23,,,,,no,,,,0.0,2021-01-08,yes,2024-08-25,no,2023-01-31,yes,0.0,Regular review,no,no,no,no,no,no,no,yes
ACC000080,CUST001195,call,AED,2019-05-20,112549.92,2021-03-22,2019-12-06,,,,,no,,,,0.0,2024-02-17,no,,no,2024-03-10,yes,0.0,Dormant check,no,no,no,no,yes,no,no,no
ACC000081,CUST000417,investment,AED,2017-11-26,144149.64,2025-03-22,2023-09-06,,,,2023-10-07,no,,,,0.0,2018-12-10,yes,2020-02-14,yes,2020-01-01,pending,0.0,,yes,yes,yes,yes,no,yes,yes,yes
ACC000082,CUST001567,bankers_cheque,EUR,2023-09-29,834058.52,2024-04-08,2024-10-04,,,,,no,,,2024-10-13,54.59,2024-08-01,no,,yes,,no,0.0,,yes,no,no,no,no,yes,yes,no
ACC000083,CUST000581,cashier_order,INR,2024-04-19,510370.34,2024-05-12,2024-09-16,,,,,no,,,2024-11-06,266.3,2024-05-08,yes,2024-10-19,no,,no,0.0,,no,yes,yes,no,yes,yes,no,yes
ACC000084,CUST001868,bankers_cheque,SAR,2022-03-15,695803.14,2022-07-31,2024-06-19,,,,,no,,,2022-08-01,94.48,2024-01-20,yes,2023-12-15,no,2023-06-06,pending,0.0,Dormant check,no,yes,yes,no,no,no,yes,no
ACC000085,CUST000323,saving,USD,2023-07-11,648479.11,2024-12-19,2024-09-12,,,,,no,,,,0.0,2023-12-04,yes,2023-09-09,yes,2024-04-16,pending,0.0,Regular review,yes,no,yes,yes,no,yes,no,yes
ACC000086,CUST000368,call,INR,2022-11-21,200989.32,2024-11-08,2023-07-29,,,,,no,,,,0.0,2023-01-08,yes,2024-01-22,no,,no,0.0,Regular review,yes,no,yes,yes,no,yes,no,no
ACC000087,CUST001249,current,EUR,2022-11-09,832643.79,2023-12-08,2024-03-29,,,,,no,,,,0.0,2024-12-07,no,,no,,no,0.0,,no,no,yes,yes,no,no,yes,yes
ACC000088,CUST000704,cashier_order,AED,2021-06-20,373900.26,2024-03-13,2022-12-23,,,,,no,,,2023-03-16,897.14,2025-05-02,no,,no,,no,0.0,Regular review,no,yes,no,no,no,yes,yes,yes
ACC000089,CUST000775,safe_deposit_box,EUR,2017-07-22,134248.69,2018-09-26,2025-04-21,,,,,yes,2018-07-22,no,,0.0,2022-06-21,yes,2022-10-31,yes,2019-01-15,yes,0.0,Dormant check,yes,yes,no,no,yes,yes,no,yes
ACC000090,CUST000774,investment,USD,2023-03-13,353005.1,2024-03-23,2024-07-07,,,,2024-11-11,no,,,,0.0,2023-03-27,no,,no,,no,0.0,,yes,yes,yes,yes,yes,no,yes,no
ACC000091,CUST001183,bankers_cheque,USD,2015-09-03,706768.34,2017-10-15,2020-06-01,,,,,no,,,2022-04-11,724.95,2019-05-09,yes,2023-07-26,yes,2019-10-22,no,0.0,Regular review,yes,no,yes,yes,yes,no,no,yes
ACC000092,CUST001148,fixed_deposit,AED,2017-04-30,997786.73,2021-09-20,2024-08-11,2021-07-07,yes,2025-01-05,,no,,,,0.0,2024-11-11,yes,2020-02-08,no,,no,0.0,Dormant check,yes,no,yes,no,no,no,yes,no
ACC000093,CUST000770,investment,GBP,2022-12-27,97436.54,2025-03-28,2024-06-22,,,,2024-09-21,no,,,,0.0,2023-04-11,no,,yes,,no,0.0,,no,no,no,no,yes,no,no,yes
ACC000094,CUST000176,fixed_deposit,AED,2015-08-08,878366.91,2019-12-30,2021-12-05,2024-04-26,yes,2024-10-06,,no,,,,0.0,2023-05-23,yes,2022-11-17,yes,,no,0.0,,no,yes,no,no,yes,no,yes,yes
ACC000095,CUST001709,investment,GBP,2019-06-19,606249.07,2020-05-19,2021-12-17,,,,2023-03-23,no,,,,0.0,2021-08-11,no,,yes,2021-08-20,yes,0.0,Dormant check,yes,yes,no,yes,yes,no,no,no
ACC000096,CUST001127,fixed_deposit,GBP,2016-07-16,656802.4,2020-02-26,2021-04-27,2021-12-25,no,2022-11-01,,no,,,,0.0,2022-05-21,yes,2021-05-16,yes,2023-12-12,yes,0.0,Dormant check,no,yes,yes,yes,no,yes,no,no
ACC000097,CUST001962,bank_draft,INR,2019-05-24,454899.7,2019-11-28,2021-03-01,,,,,no,,,2024-05-23,204.93,2025-04-18,yes,2024-03-07,no,2021-03-23,pending,0.0,Regular review,no,no,yes,yes,yes,no,no,yes
ACC000098,CUST001293,bank_draft,GBP,2019-01-11,397012.27,2019-07-30,2022-05-21,,,,,no,,,2023-12-08,191.19,2021-10-13,no,,yes,2022-08-02,no,0.0,,no,yes,no,yes,yes,no,no,no
ACC000099,CUST000286,current,INR,2017-06-29,175906.76,2024-05-27,2019-12-12,,,,,no,,,,0.0,2024-12-04,yes,2017-12-29,no,2019-05-22,no,0.0,,no,no,yes,yes,no,no,no,no
ACC000100,CUST000859,current,INR,2019-12-07,928625.39,2023-01-04,2023-05-30,,,,,no,,,,0.0,2024-06-14,yes,2023-10-16,no,,no,0.0,Dormant check,no,no,no,no,no,no,no,yes
ACC000101,CUST000792,current,EUR,2020-06-08,558341.6,2023-05-12,2020-07-08,,,,,no,,,,0.0,2021-03-30,yes,2021-02-14,no,,no,0.0,,yes,yes,no,yes,yes,yes,no,yes
ACC000102,CUST000572,saving,EUR,2022-10-16,726380.16,2023-10-05,2023-11-30,,,,,no,,,,0.0,2023-07-12,yes,2024-11-14,yes,2023-09-17,yes,0.0,Regular review,yes,yes,no,no,no,no,no,yes
ACC000103,CUST000730,bank_draft,INR,2022-05-07,478410.75,2024-03-18,2022-11-30,,,,,no,,,2025-01-20,980.72,2023-01-21,no,,yes,,no,0.0,Dormant check,no,no,yes,no,no,yes,no,no
ACC000104,CUST001026,investment,GBP,2015-12-12,704015.15,2022-03-20,2024-12-16,,,,2021-07-08,no,,,,0.0,2016-06-04,no,,yes,2022-06-28,yes,0.0,Dormant check,no,yes,no,no,yes,no,no,no
ACC000105,CUST001526,cashier_order,GBP,2021-05-26,183058.23,2025-04-03,2025-02-05,,,,,no,,,2022-07-05,476.82,2021-09-26,no,,no,,no,0.0,Dormant check,no,no,yes,yes,no,yes,yes,yes
ACC000106,CUST001044,cashier_order,EUR,2019-12-19,422419.93,2020-01-28,2023-03-21,,,,,no,,,2020-04-28,374.62,2020-11-21,no,,yes,2022-03-20,pending,0.0,,no,no,no,yes,no,yes,no,yes
ACC000107,CUST001322,investment,EUR,2017-01-04,606958.27,2019-07-17,2018-12-04,,,,2023-01-06,no,,,,0.0,2024-12-15,no,,no,,no,0.0,,no,no,yes,no,yes,no,yes,yes
ACC000108,CUST000247,fixed_deposit,GBP,2020-12-10,519434.41,2022-12-05,2022-05-22,2023-10-15,yes,2024-08-27,,no,,,,0.0,2022-11-23,no,,yes,,no,0.0,,no,no,yes,no,no,no,no,yes
ACC000109,CUST000942,call,AED,2022-11-20,724016.01,2023-12-25,2023-06-22,,,,,no,,,,0.0,2025-02-11,no,,yes,,no,0.0,Dormant check,no,no,yes,no,yes,yes,yes,yes
ACC000110,CUST000417,saving,USD,2023-06-27,798821.73,2024-05-07,2023-07-30,,,,,no,,,,0.0,2024-11-15,no,,no,2023-08-20,no,0.0,,no,yes,no,no,no,no,no,yes
ACC000111,CUST001803,bankers_cheque,AED,2019-08-31,829889.15,2020-11-15,2020-05-10,,,,,no,,,2022-09-03,842.43,2020-04-19,yes,2022-06-25,yes,2020-04-06,no,0.0,Dormant check,yes,no,yes,yes,yes,yes,yes,no
ACC000112,CUST000809,fixed_deposit,INR,2021-11-23,458022.09,2024-04-12,2022-12-28,2024-09-30,yes,2024-11-19,,no,,,,0.0,2024-05-19,yes,2023-04-09,yes,,no,0.0,Regular review,no,no,no,no,yes,no,no,no
